,block_index,trial,trial_onset(s),stimulus_type,resp_key,rt(s),correct,is_omission,is_comission
355,4.0,355,453.5587174999528,Go,space,0.4023887000512332,Correct,False,False
356,4.0,356,454.55786140006967,Go,space,0.3868011999875307,Correct,False,False
357,4.0,357,455.5567981000058,Go,space,0.3828475000336766,Correct,False,False
358,4.0,358,456.5553361000493,Go,space,0.5008830002043396,Correct,False,False
359,4.0,359,457.55506019992754,Go,space,0.4535737000405788,Correct,False,False
360,4.0,360,458.5546190999448,No_go,,0.0,Correct,False,False
361,4.0,361,459.5526179999579,Go,space,0.3839060000609606,Correct,False,False
362,4.0,362,460.5519052001182,Go,space,0.4168757998850196,Correct,False,False
363,4.0,363,461.55117559991777,Go,space,0.3335586001630872,Correct,False,False
364,4.0,364,462.5506716000382,No_go,,0.0,Correct,False,False
365,4.0,365,463.549238699954,Go,space,0.3836903998162597,Correct,False,False
366,4.0,366,464.5474227000959,Go,space,0.3848017998971045,Correct,False,False
367,4.0,367,465.5492090000771,Go,space,0.3489709000568837,Correct,False,False
368,4.0,368,466.5456960001029,Go,space,0.3515323000028729,Correct,False,False
369,4.0,369,467.5448143999092,No_go,space,0.3039786999579519,Incorrect,False,True
370,4.0,370,468.54477709997445,Go,space,0.3500686001498252,Correct,False,False
371,4.0,371,469.54379469994456,Go,space,0.3835317001212388,Correct,False,False
372,4.0,372,470.54261550004594,Go,space,0.4177414998412132,Correct,False,False
373,4.0,373,471.5421808999963,Go,space,0.4179845000617206,Correct,False,False
